Timestamp | Device_ID | Temperature (Celsius) | Status
2026-06-04 15:41:58 | WARD_B_TEMP_01 | 39.9 | CRITICAL
2026-06-04 15:41:58 | WARD_B_TEMP_02 | 36.1 | NORMAL
2026-06-04 15:41:58 | WARD_B_TEMP_03 | 40.0 | CRITICAL
2026-06-04 15:41:58 | WARD_B_TEMP_04 | 37.4 | NORMAL
2026-06-04 15:41:58 | WARD_B_TEMP_05 | 39.7 | CRITICAL
2026-06-04 15:41:59 | WARD_B_TEMP_01 | 37.6 | WARNING
2026-06-04 15:41:59 | WARD_B_TEMP_02 | 37.0 | NORMAL
2026-06-04 15:41:59 | WARD_B_TEMP_03 | 35.1 | CRITICAL
2026-06-04 15:41:59 | WARD_B_TEMP_04 | 38.3 | CRITICAL
2026-06-04 15:41:59 | WARD_B_TEMP_05 | 37.0 | NORMAL
2026-06-04 15:42:00 | WARD_B_TEMP_01 | 38.6 | CRITICAL
2026-06-04 15:42:00 | WARD_B_TEMP_02 | 35.4 | CRITICAL
2026-06-04 15:42:00 | WARD_B_TEMP_03 | 34.8 | CRITICAL
2026-06-04 15:42:00 | WARD_B_TEMP_04 | 39.1 | CRITICAL
2026-06-04 15:42:00 | WARD_B_TEMP_05 | 40.2 | CRITICAL
2026-06-04 15:42:01 | WARD_B_TEMP_01 | 36.1 | NORMAL
2026-06-04 15:42:01 | WARD_B_TEMP_02 | 37.0 | NORMAL
2026-06-04 15:42:01 | WARD_B_TEMP_03 | 38.7 | CRITICAL
2026-06-04 15:42:01 | WARD_B_TEMP_04 | 38.3 | CRITICAL
2026-06-04 15:42:01 | WARD_B_TEMP_05 | 39.9 | CRITICAL
2026-06-04 15:42:02 | WARD_B_TEMP_01 | 36.6 | NORMAL
2026-06-04 15:42:02 | WARD_B_TEMP_02 | 40.0 | CRITICAL
2026-06-04 15:42:02 | WARD_B_TEMP_03 | 35.3 | CRITICAL
2026-06-04 15:42:02 | WARD_B_TEMP_04 | 39.6 | CRITICAL
2026-06-04 15:42:02 | WARD_B_TEMP_05 | 35.4 | CRITICAL
2026-06-04 15:42:03 | WARD_B_TEMP_01 | 34.7 | CRITICAL
2026-06-04 15:42:03 | WARD_B_TEMP_02 | 39.6 | CRITICAL
2026-06-04 15:42:03 | WARD_B_TEMP_03 | 34.8 | CRITICAL
2026-06-04 15:42:03 | WARD_B_TEMP_04 | 35.5 | NORMAL
2026-06-04 15:42:03 | WARD_B_TEMP_05 | 37.9 | WARNING
2026-06-04 15:42:04 | WARD_B_TEMP_01 | 39.4 | CRITICAL
2026-06-04 15:42:04 | WARD_B_TEMP_02 | 40.3 | CRITICAL
2026-06-04 15:42:04 | WARD_B_TEMP_03 | 36.1 | NORMAL
2026-06-04 15:42:04 | WARD_B_TEMP_04 | 38.1 | CRITICAL
2026-06-04 15:42:04 | WARD_B_TEMP_05 | 36.1 | NORMAL
2026-06-04 15:42:05 | WARD_B_TEMP_01 | 38.8 | CRITICAL
2026-06-04 15:42:05 | WARD_B_TEMP_02 | 37.0 | NORMAL
2026-06-04 15:42:05 | WARD_B_TEMP_03 | 35.1 | CRITICAL
2026-06-04 15:42:05 | WARD_B_TEMP_04 | 34.8 | CRITICAL
2026-06-04 15:42:05 | WARD_B_TEMP_05 | 37.1 | NORMAL
2026-06-04 15:42:06 | WARD_B_TEMP_01 | 38.1 | CRITICAL
2026-06-04 15:42:06 | WARD_B_TEMP_02 | 39.0 | CRITICAL
2026-06-04 15:42:06 | WARD_B_TEMP_03 | 36.5 | NORMAL
2026-06-04 15:42:06 | WARD_B_TEMP_04 | 39.5 | CRITICAL
2026-06-04 15:42:06 | WARD_B_TEMP_05 | 36.2 | NORMAL
2026-06-04 15:42:07 | WARD_B_TEMP_01 | 36.5 | NORMAL
2026-06-04 15:42:07 | WARD_B_TEMP_02 | 35.8 | NORMAL
2026-06-04 15:42:07 | WARD_B_TEMP_03 | 39.7 | CRITICAL
2026-06-04 15:42:07 | WARD_B_TEMP_04 | 34.6 | CRITICAL
2026-06-04 15:42:07 | WARD_B_TEMP_05 | 40.3 | CRITICAL
2026-06-04 15:42:08 | WARD_B_TEMP_01 | 39.9 | CRITICAL
2026-06-04 15:42:08 | WARD_B_TEMP_02 | 39.5 | CRITICAL
2026-06-04 15:42:08 | WARD_B_TEMP_03 | 37.4 | NORMAL
2026-06-04 15:42:08 | WARD_B_TEMP_04 | 35.8 | NORMAL
2026-06-04 15:42:08 | WARD_B_TEMP_05 | 36.1 | NORMAL
2026-06-04 15:42:09 | WARD_B_TEMP_01 | 38.9 | CRITICAL
2026-06-04 15:42:09 | WARD_B_TEMP_02 | 38.9 | CRITICAL
2026-06-04 15:42:09 | WARD_B_TEMP_03 | 39.7 | CRITICAL
2026-06-04 15:42:09 | WARD_B_TEMP_04 | 40.1 | CRITICAL
2026-06-04 15:42:09 | WARD_B_TEMP_05 | 34.9 | CRITICAL
2026-06-04 15:42:10 | WARD_B_TEMP_01 | 38.7 | CRITICAL
2026-06-04 15:42:10 | WARD_B_TEMP_02 | 39.4 | CRITICAL
2026-06-04 15:42:10 | WARD_B_TEMP_03 | 38.9 | CRITICAL
2026-06-04 15:42:10 | WARD_B_TEMP_04 | 37.3 | NORMAL
2026-06-04 15:42:10 | WARD_B_TEMP_05 | 36.0 | NORMAL
2026-06-04 15:42:11 | WARD_B_TEMP_01 | 35.2 | CRITICAL
2026-06-04 15:42:11 | WARD_B_TEMP_02 | 40.4 | CRITICAL
2026-06-04 15:42:11 | WARD_B_TEMP_03 | 38.2 | CRITICAL
2026-06-04 15:42:11 | WARD_B_TEMP_04 | 36.0 | NORMAL
2026-06-04 15:42:11 | WARD_B_TEMP_05 | 35.1 | CRITICAL
2026-06-04 15:42:12 | WARD_B_TEMP_01 | 37.6 | WARNING
2026-06-04 15:42:12 | WARD_B_TEMP_02 | 34.7 | CRITICAL
2026-06-04 15:42:12 | WARD_B_TEMP_03 | 38.9 | CRITICAL
2026-06-04 15:42:12 | WARD_B_TEMP_04 | 39.5 | CRITICAL
2026-06-04 15:42:12 | WARD_B_TEMP_05 | 38.7 | CRITICAL
2026-06-04 15:42:13 | WARD_B_TEMP_01 | 35.7 | NORMAL
2026-06-04 15:42:13 | WARD_B_TEMP_02 | 35.8 | NORMAL
2026-06-04 15:42:13 | WARD_B_TEMP_03 | 34.9 | CRITICAL
2026-06-04 15:42:13 | WARD_B_TEMP_04 | 38.1 | CRITICAL
2026-06-04 15:42:13 | WARD_B_TEMP_05 | 35.5 | NORMAL
2026-06-04 15:42:14 | WARD_B_TEMP_01 | 35.1 | CRITICAL
2026-06-04 15:42:14 | WARD_B_TEMP_02 | 35.7 | NORMAL
2026-06-04 15:42:14 | WARD_B_TEMP_03 | 39.5 | CRITICAL
2026-06-04 15:42:14 | WARD_B_TEMP_04 | 38.7 | CRITICAL
2026-06-04 15:42:14 | WARD_B_TEMP_05 | 38.0 | WARNING
2026-06-04 15:42:15 | WARD_B_TEMP_01 | 38.3 | CRITICAL
2026-06-04 15:42:15 | WARD_B_TEMP_02 | 35.0 | CRITICAL
2026-06-04 15:42:15 | WARD_B_TEMP_03 | 39.3 | CRITICAL
2026-06-04 15:42:15 | WARD_B_TEMP_04 | 38.7 | CRITICAL
2026-06-04 15:42:15 | WARD_B_TEMP_05 | 37.0 | NORMAL
2026-06-04 15:42:16 | WARD_B_TEMP_01 | 39.8 | CRITICAL
2026-06-04 15:42:16 | WARD_B_TEMP_02 | 35.2 | CRITICAL
2026-06-04 15:42:16 | WARD_B_TEMP_03 | 36.2 | NORMAL
2026-06-04 15:42:16 | WARD_B_TEMP_04 | 37.1 | NORMAL
2026-06-04 15:42:16 | WARD_B_TEMP_05 | 39.0 | CRITICAL
2026-06-04 15:42:17 | WARD_B_TEMP_01 | 37.9 | WARNING
2026-06-04 15:42:17 | WARD_B_TEMP_02 | 35.2 | CRITICAL
2026-06-04 15:42:17 | WARD_B_TEMP_03 | 34.6 | CRITICAL
2026-06-04 15:42:17 | WARD_B_TEMP_04 | 36.1 | NORMAL
2026-06-04 15:42:17 | WARD_B_TEMP_05 | 38.6 | CRITICAL
2026-06-04 15:42:18 | WARD_B_TEMP_01 | 39.1 | CRITICAL
2026-06-04 15:42:18 | WARD_B_TEMP_02 | 40.3 | CRITICAL
2026-06-04 15:42:18 | WARD_B_TEMP_03 | 39.4 | CRITICAL
2026-06-04 15:42:18 | WARD_B_TEMP_04 | 35.2 | CRITICAL
2026-06-04 15:42:18 | WARD_B_TEMP_05 | 34.6 | CRITICAL
2026-06-04 15:42:19 | WARD_B_TEMP_01 | 39.2 | CRITICAL
2026-06-04 15:42:19 | WARD_B_TEMP_02 | 39.3 | CRITICAL
2026-06-04 15:42:19 | WARD_B_TEMP_03 | 35.1 | CRITICAL
2026-06-04 15:42:19 | WARD_B_TEMP_04 | 34.8 | CRITICAL
2026-06-04 15:42:19 | WARD_B_TEMP_05 | 39.9 | CRITICAL
2026-06-04 15:42:20 | WARD_B_TEMP_01 | 37.7 | WARNING
2026-06-04 15:42:20 | WARD_B_TEMP_02 | 35.7 | NORMAL
2026-06-04 15:42:20 | WARD_B_TEMP_03 | 40.4 | CRITICAL
2026-06-04 15:42:20 | WARD_B_TEMP_04 | 37.0 | NORMAL
2026-06-04 15:42:20 | WARD_B_TEMP_05 | 40.2 | CRITICAL
2026-06-04 15:42:21 | WARD_B_TEMP_01 | 36.8 | NORMAL
2026-06-04 15:42:21 | WARD_B_TEMP_02 | 34.6 | CRITICAL
2026-06-04 15:42:21 | WARD_B_TEMP_03 | 39.9 | CRITICAL
2026-06-04 15:42:21 | WARD_B_TEMP_04 | 35.2 | CRITICAL
2026-06-04 15:42:21 | WARD_B_TEMP_05 | 36.6 | NORMAL
2026-06-04 15:42:22 | WARD_B_TEMP_01 | 34.6 | CRITICAL
2026-06-04 15:42:22 | WARD_B_TEMP_02 | 35.6 | NORMAL
2026-06-04 15:42:22 | WARD_B_TEMP_03 | 38.8 | CRITICAL
2026-06-04 15:42:22 | WARD_B_TEMP_04 | 34.6 | CRITICAL
2026-06-04 15:42:22 | WARD_B_TEMP_05 | 36.6 | NORMAL
2026-06-04 15:42:23 | WARD_B_TEMP_01 | 35.9 | NORMAL
2026-06-04 15:42:23 | WARD_B_TEMP_02 | 36.9 | NORMAL
2026-06-04 15:42:23 | WARD_B_TEMP_03 | 39.5 | CRITICAL
2026-06-04 15:42:23 | WARD_B_TEMP_04 | 37.4 | NORMAL
2026-06-04 15:42:23 | WARD_B_TEMP_05 | 39.5 | CRITICAL
2026-06-04 15:42:24 | WARD_B_TEMP_01 | 38.3 | CRITICAL
2026-06-04 15:42:24 | WARD_B_TEMP_02 | 35.9 | NORMAL
2026-06-04 15:42:24 | WARD_B_TEMP_03 | 38.6 | CRITICAL
2026-06-04 15:42:24 | WARD_B_TEMP_04 | 36.0 | NORMAL
2026-06-04 15:42:24 | WARD_B_TEMP_05 | 36.3 | NORMAL
2026-06-04 15:42:25 | WARD_B_TEMP_01 | 39.2 | CRITICAL
2026-06-04 15:42:25 | WARD_B_TEMP_02 | 38.4 | CRITICAL
